# ZAP Baseline Scan Rules Configuration
# Format: AlertID	Action	URL Regex (optional - use .* for all)
#
# Action values:
#   IGNORE - Ignore the alert (won't fail the scan)
#   WARN   - Report but don't fail the scan
#   FAIL   - Fail the scan if alert is raised

# Informational alerts - warn only
10015	WARN	.*
10109	WARN	.*
10096	IGNORE	.*

# Cookie alerts - handled by NextAuth
10010	WARN	.*
10011	WARN	.*
10054	WARN	.*
90033	WARN	.*

# CSP alerts - we have nonce-based CSP
10038	WARN	.*
10055	WARN	.*

# These should be properly configured
10020	FAIL	.*
10021	FAIL	.*
10035	FAIL	.*
10036	WARN	.*
10037	FAIL	.*
10063	WARN	.*

# CSRF - we use Origin validation
10202	WARN	.*

# Critical security issues - must fail
40003	FAIL	.*
40012	FAIL	.*
40014	FAIL	.*
40018	FAIL	.*
40019	FAIL	.*
40020	FAIL	.*
40021	FAIL	.*
40022	FAIL	.*
40024	FAIL	.*
90022	FAIL	.*

# Third-party libraries
10003	WARN	.*
10017	WARN	.*
