id,label,type,number,korean_name,chinese_name,upper_trigram,lower_trigram,keyword,judgment,image,advice,saju_correlation,description
HEX_49,혁괘,iching_hexagram,49,택화혁,澤火革,태택,이화,변혁/혁명/바꿈,이미날이되어야믿으니크게형통하고바르면이롭다,못속에불이있으니군자는책력을만들어때를밝힌다,때가되면과감히변혁하라,대운교체-변혁,혁괘(革)는 물과 불이 서로 소멸시키는 모습. 근본적인 변혁이 필요한 때.
HEX_50,정괘솥,iching_hexagram,50,화풍정,火風鼎,이화,손풍,솥/문명/제사/양육,크게형통하다,나무위에불이있으니군자는위를바르게하고명을확고히한다,새것을받아들이고문명을이루라,식신문화-솥,정괘(鼎)는 솥의 모습. 새로운 것을 받아들이고 문명을 발전시키는 때.
HEX_51,진괘뢰,iching_hexagram,51,중진,震爲雷,진뢰,진뢰,우레/진동/충격/각성,형통하니우레가오면놀라서웃고떠드나백리밖의비장을잃지않는다,거듭된우레니군자는두려워하며자신을닦는다,충격을받아들이고각성하라,편관충격-우레,진괘(震)는 우레가 겹친 모습. 충격과 진동의 때이나 두려움 속에서 각성해야 함.
HEX_52,간괘,iching_hexagram,52,중간,艮爲山,간산,간산,멈춤/산/고요함/정지,등을그치면그몸을얻지못하고뜰에가도그사람을보지못하니허물이없다,산이겹쳤으니군자는생각이그자리를벗어나지않는다,멈출때멈춰라/고요히머물라,토고요-멈춤,간괘(艮)는 산이 겹친 모습. 멈추고 고요히 머물러야 하는 때.
HEX_53,점괘,iching_hexagram,53,풍산점,風山漸,손풍,간산,점진/서서히/단계적진행,여자를시집보내면길하고바르면이롭다,산위에나무가있으니군자는어진덕에거하여풍속을좋게한다,서두르지말고점진적으로나아가라,정관점진-서서히,점괘(漸)는 산 위에 나무가 자라는 모습. 서두르지 않고 점진적으로 나아가야 하는 때.
HEX_54,귀매괘,iching_hexagram,54,뇌택귀매,雷澤歸妹,진뢰,태택,시집감/종속/불완전한결합,가면흉하니이로울것이없다,못위에우레가있으니군자는끝을생각하여영원한뜻을안다,불완전한관계를인식하라/조심하라,도화불리-불완전결합,귀매괘(歸妹)는 우레와 연못의 부조화. 불완전한 결합이나 종속적 관계에 주의해야 하는 때.
HEX_55,풍괘,iching_hexagram,55,뇌화풍,雷火豐,진뢰,이화,풍성/절정/찬란함,형통하니왕이이르렀으니근심하지말라/해가중천에있어야한다,우레와번개가함께오니군자는송사를결단하고형벌을행한다,풍성함의절정을누리라/기울어짐을대비하라,대길절정-풍성,풍괘(豐)는 우레와 번개가 함께하는 찬란한 모습. 풍성함의 절정이나 기울어짐에 대비해야 함.
HEX_56,여괘,iching_hexagram,56,화산여,火山旅,이화,간산,나그네/여행/이방인,작은것이형통하니나그네가바르면길하다,산위에불이있으니군자는밝게신중히형벌하고옥사를오래끌지않는다,나그네의마음으로겸손하라,역마-나그네여행,여괘(旅)는 산 위의 불처럼 머물지 않는 모습. 나그네처럼 겸손하고 신중해야 하는 때.
HEX_57,손괘풍,iching_hexagram,57,중손,巽爲風,손풍,손풍,바람/들어감/침투/순종,작은것이형통하고갈곳이있으면이롭다/대인을보는것이이롭다,바람이거듭하니군자는명을펴서일을행한다,부드럽게스며들어라/순종하며침투하라,을목유연-바람순종,손괘(巽)는 바람이 겹친 모습. 부드럽게 스며들고 순종하며 침투해야 하는 때.
HEX_58,태괘,iching_hexagram,58,중태,兌爲澤,태택,태택,기쁨/즐거움/소통/화평,형통하고바르면이롭다,못이붙었으니군자는벗과강론하고습익한다,기쁨을나누라/소통하고화합하라,식신기쁨-즐거움,태괘(兌)는 연못이 겹친 모습. 기쁨과 즐거움으로 소통하고 화합해야 하는 때.
