id,label,type,number,korean_name,chinese_name,upper_trigram,lower_trigram,keyword,judgment,image,advice,saju_correlation,description
HEX_01,건괘,iching_hexagram,1,건위천,乾爲天,건천,건천,창조/시작/강건,원형이정/하늘의도,하늘이굳건하니군자는스스로강건하다,강건하게나아가되교만하지말라,갑목병화-강건창조,건괘(乾)는 순수한 양의 에너지. 하늘의 창조력을 상징하며 강건하게 시작하고 나아가는 때.
HEX_02,곤괘,iching_hexagram,2,곤위지,坤爲地,곤지,곤지,수용/포용/유순,암말의정절/땅의덕,땅의형세가곤이니군자는두터운덕으로만물을싣는다,유순하게따르며때를기다려라,기토계수-포용수용,곤괘(坤)는 순수한 음의 에너지. 대지의 수용력을 상징하며 겸손히 따르고 기다리는 때.
HEX_03,준괘,iching_hexagram,3,수뢰준,水雷屯,감수,진뢰,어려운시작/혼돈속출발,어려움속에원형이정/제후를세움이이롭다,구름과우레가사귀어충만하니군자는경영을베푼다,시작의어려움을인내하라/기반을세워라,편관-시련속시작,준괘(屯)는 새싹이 땅을 뚫고 나오는 어려운 시작. 혼돈 속에서 기반을 세워야 하는 때.
HEX_04,몽괘,iching_hexagram,4,산수몽,山水蒙,간산,감수,어리석음/교육/계몽,내가동자를구하는것이아니라동자가나를구한다,산아래에샘이있으니군자는행실로덕을기른다,겸손히배우라/스승을구하라,인성-학습계몽,몽괘(蒙)는 어린아이의 어리석음. 배움이 필요한 때이며 겸손히 가르침을 구해야 함.
HEX_05,수괘,iching_hexagram,5,수천수,水天需,감수,건천,기다림/인내/영양,믿음으로빛나면형통하고바르게하면길하다,구름이하늘위에오르니군자는먹고마시며즐긴다,조급해하지말고때를기다려라,정인-인내기다림,수괘(需)는 구름이 하늘에 있는 모습. 비가 내리기를 기다리듯 인내하며 때를 기다리는 때.
HEX_06,송괘,iching_hexagram,6,천수송,天水訟,건천,감수,다툼/분쟁/소송,믿음이막혀두려워하면중도에길하다,하늘과물이어긋나니군자는일을시작할때처음을잘한다,다툼을피하라/중재자를구하라,상관견관-분쟁갈등,송괘(訟)는 하늘과 물이 반대로 가는 모습. 분쟁과 다툼의 때이니 양보하고 중재를 구함.
HEX_07,사괘,iching_hexagram,7,지수사,地水師,곤지,감수,군대/조직/리더십,바른장수라야길하며허물이없다,땅속에물이있으니군자는백성을거두어무리를기른다,규율있게조직하라/올바른리더를따르라,정관편관-조직통솔,사괘(師)는 땅 속의 물처럼 힘이 내재된 모습. 조직과 규율로 힘을 모아야 하는 때.
HEX_08,비괘,iching_hexagram,8,수지비,水地比,감수,곤지,친밀/연대/결속,길하다/다시점쳐서원영정하면허물이없다,땅위에물이있으니선왕이만국을세우고제후와친하다,진심으로연대하라/중심인물을따르라,비겁-친밀연대,비괘(比)는 물이 땅 위에 모이는 모습. 사람들이 친밀하게 모여 연대해야 하는 때.
HEX_09,소축괘,iching_hexagram,9,풍천소축,風天小畜,손풍,건천,작은축적/부드러운억제,형통하다/빽빽한구름이나비가오지않는다,바람이하늘을행하니군자는문덕을밝힌다,작은것부터축적하라/때가아직아니다,정재-작은축적,소축괘(小畜)는 바람이 하늘을 가로지르는 모습. 큰 것을 이루기 전 작은 것을 모으는 때.
HEX_10,리괘,iching_hexagram,10,천택리,天澤履,건천,태택,밟음/예절/신중한행동,호랑이꼬리를밟아도물지않으니형통하다,하늘아래에못이있으니군자는상하를분별하고백성의뜻을정한다,예절을지키며신중히행하라,정관-예절신중,리괘(履)는 호랑이 꼬리를 밟는 위험한 상황. 예절과 신중함으로 위험을 통과하는 때.
HEX_11,태괘,iching_hexagram,11,지천태,地天泰,곤지,건천,태평/형통/조화,작은것이가고큰것이오니길하고형통하다,천지가사귀어통하니임금이천지의도를완성한다,조화로운때를활용하라/베풀어라,삼합-대길조화,태괘(泰)는 하늘이 아래로 내려오고 땅이 위로 올라가 만나는 모습. 최고의 조화와 형통의 때.
HEX_12,비괘부,iching_hexagram,12,천지비,天地否,건천,곤지,막힘/정체/불통,비색/군자의정절은이롭지않다,천지가사귀지않으니군자는덕을검약하여어려움을피한다,때가막혔으니내면을닦으며기다려라,충형-막힘정체,비괘(否)는 하늘과 땅이 등을 돌린 모습. 소통이 막힌 때이니 내면을 닦으며 기다림.
HEX_13,동인괘,iching_hexagram,13,천화동인,天火同人,건천,이화,동지/화합/공동체,들에서사람들과같이하면형통하다,하늘과불이함께하니군자는족류를분별한다,뜻이맞는사람과함께하라,비겁식신-동지화합,동인괘(同人)는 하늘과 불이 함께 타오르는 모습. 뜻이 맞는 사람들과 함께해야 하는 때.
HEX_14,대유괘,iching_hexagram,14,화천대유,火天大有,이화,건천,큰소유/풍요/융성,크게형통하다,불이하늘위에있으니군자는악을막고선을높인다,풍요의때를나누라/겸손하라,정재편재-대풍요,대유괘(大有)는 태양이 하늘 높이 빛나는 모습. 크게 소유하고 풍요로운 때이나 겸손해야 함.
HEX_15,겸괘,iching_hexagram,15,지산겸,地山謙,곤지,간산,겸손/낮춤/덕,형통하니군자가마침이있다,땅속에산이있으니군자는많은것을덜어적은데더한다,겸손이최고의덕이다/낮추어라,인성-겸손덕,겸괘(謙)는 산이 땅 아래에 있는 모습. 겸손의 덕으로 높은 것을 낮추고 낮은 것을 높이는 때.
HEX_16,예괘,iching_hexagram,16,뇌지예,雷地豫,진뢰,곤지,기쁨/준비/즐거움,제후를세우고군대를일으킴이이롭다,우레가땅에서나오니선왕이음악을높여덕을칭송한다,기쁨을나누라/미리준비하라,식신-기쁨준비,예괘(豫)는 우레가 땅에서 솟아오르는 모습. 기쁨과 열정으로 준비하고 시작하는 때.
