id,label,type,number,korean_name,chinese_name,upper_trigram,lower_trigram,keyword,judgment,image,advice,saju_correlation,description
HEX_17,수괘2,iching_hexagram,17,택뢰수,澤雷隨,태택,진뢰,따름/순응/융통,크게형통하고바르면이로우며허물이없다,못속에우레가있으니군자는어두워지면들어가쉰다,때에따라유연하게따르라,편인-융통따름,수괘(隨)는 우레가 연못 속에서 쉬는 모습. 때에 맞게 따르고 순응하면 형통하는 때.
HEX_18,고괘,iching_hexagram,18,산풍고,山風蠱,간산,손풍,부패/정화/개혁,크게형통하니큰내를건너는것이이롭다,산아래에바람이있으니군자는백성을일깨우고덕을기른다,썩은것을바로잡아라/개혁하라,편관충-부패개혁,고괘(蠱)는 산 아래 바람이 부는 모습. 부패한 것을 바로잡고 개혁해야 하는 때.
HEX_19,임괘,iching_hexagram,19,지택임,地澤臨,곤지,태택,다가감/임박/통솔,크게형통하고바르면이롭다/팔월이면흉하다,못위에땅이있으니군자는가르침에한이없다,주도적으로다가가라/때가오고있다,정관-임박통솔,임괘(臨)는 땅이 연못 위에서 내려다보는 모습. 좋은 때가 다가오니 적극적으로 임하는 때.
HEX_20,관괘,iching_hexagram,20,풍지관,風地觀,손풍,곤지,관찰/성찰/본보기,손을씻고제사를올리지않아도진실함이있다,바람이땅위를부니선왕이방국을순시하여백성을살핀다,높은곳에서관찰하라/본이되라,인성편인-관찰성찰,관괘(觀)는 바람이 대지 위를 부는 모습. 높은 곳에서 전체를 관찰하고 성찰하는 때.
HEX_21,서합괘,iching_hexagram,21,화뢰서합,火雷噬嗑,이화,진뢰,씹어삼킴/형벌/단호한처리,형통하니옥사를쓰는것이이롭다,우레와번개가함께하니선왕이법을밝혀형벌을신칙한다,장애물을단호히처리하라/공정하라,편관-단호한처리,서합괘(噬嗑)는 입 안의 장애물을 씹어 삼키는 모습. 방해물을 단호하게 처리해야 하는 때.
HEX_22,비괘꾸,iching_hexagram,22,산화비,山火賁,간산,이화,꾸밈/아름다움/문화,형통하나작은일에나아가는것이이롭다,산아래에불이있으니군자는정사를밝히되감히송사를결단하지않는다,내면도외면도아름답게꾸며라,식신상관-꾸밈문화,비괘(賁)는 산 아래 불이 비치는 아름다운 모습. 외면과 내면을 아름답게 꾸미는 때.
HEX_23,박괘,iching_hexagram,23,산지박,山地剝,간산,곤지,벗겨짐/쇠퇴/소멸,가는것이이롭지않다,산이땅위에붙었으니위에서아래를두텁게하여집을편안히한다,때가불리하니물러나라/기다려라,충형파-쇠퇴소멸,박괘(剝)는 산이 땅 위에서 무너져 내리는 모습. 쇠퇴의 때이니 물러나 때를 기다림.
HEX_24,복괘,iching_hexagram,24,지뢰복,地雷復,곤지,진뢰,돌아옴/회복/재생,형통하니나가고들어옴에병이없다,우레가땅속에있으니선왕이동지에문을닫아쉰다,다시시작하라/양이돌아온다,삼합시작-회복재생,복괘(復)는 땅 속에서 우레가 싹트는 모습. 양의 기운이 돌아오는 회복과 재생의 때.
HEX_25,무망괘,iching_hexagram,25,천뢰무망,天雷無妄,건천,진뢰,무망/순수/자연스러움,크게형통하고바르면이롭다/바르지않으면재앙이있다,하늘아래에우레가돌아다니니선왕이때를맞춰만물을기른다,순수하게자연을따르라/거짓이없어야한다,정인-순수무망,무망괘(無妄)는 하늘 아래 우레가 치는 모습. 거짓 없이 순수하게 자연을 따라야 하는 때.
HEX_26,대축괘,iching_hexagram,26,산천대축,山天大畜,간산,건천,큰축적/억제/멈춤,집에서밥먹지않음이이롭다/큰내를건너는것이이롭다,하늘이산속에있으니군자는옛말과옛행실을많이알아덕을쌓는다,크게축적하라/때를기다려라,정재대길-큰축적,대축괘(大畜)는 하늘이 산 안에 있는 모습. 큰 힘을 축적하고 때를 기다리는 때.
HEX_27,이괘,iching_hexagram,27,산뢰이,山雷頤,간산,진뢰,기름/양육/입,바르면길하다/스스로기르는것과먹는것을살핀다,산아래에우레가있으니군자는말을삼가고먹는것을절제한다,자신을잘기르라/말과음식을조심하라,식신인성-양육,이괘(頤)는 입의 모양을 나타냄. 무엇을 먹고 어떻게 기르느냐가 중요한 때.
